,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"90 DAYS
SALES","BRANCH
STOCK","IN
TRANSIST","OPEN
PURCHASE
ORDER","ON HAND+
ON ORDER","NO OF
SALES
DAYS","90 DAYS
SALES /90",,"LEAD
TIME
FACTOR","VARIABILITY
FACTOR",,,"DECOUPLING
LEAD
TIME","DESIRED
ORDER
CYCLE",ADU * DLT,ADU * DLT * LTF,CYCLE * ADU,MOQ,"WHICH
IS
HIGHER",ADU * DLT * LTF,RED BASE * VF,BASE + RED SAFETY,RED,TOR + YELLOW,RED + YELLOW + GREEN,RED + GREEN 50%,,"(ADU*
DLT)*0.3",ON HAND,ON ORDER,"(ON HAND+
ON ORDER)-
QUALIFIED DEMAND",NET FLOW / TOG,"ORDER
RECOMMENDATION",,,TOR,"TOR+
GREEN",TOR+ GREEN*50%,,"TOR ""-""
(TOR + GREEN)",,
S.NO,MASTER SKU,"PRODUCT
CLASSIFICATION ",LEAD TIME,"PRICE
2,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSINNERPOOMEX,ESSIENTIAL ,10,1 - 200,"75, 80, 85, 90, 95, 100",6,"98, 111, 128",3,2,100,120,ALL,TOT,1104,989,40,0,1029,90,12.27,,0.75,0.25,,,10,7,123,92,86,120,120,92.0,23.00,115.00,115.0,237.67,357.7,175.00,14.27,36.80,989,40,992,277%,0,,,115.0,235.0,175,,115 - 235,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,TUP,258,142,140,0,282,89,2.90,,0.75,0.25,,,10,7,29,22,20,120,120,21.7,5.44,27.2,27.2,56.17,176.2,87.18,,8.70,142,140,273,155%,0,,,27.2,147.2,87,,27 - 147,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,CBE,112,38,0,0,38,89,1.26,,0.75,0.25,,,10,7,13,9,9,120,120,9.4,2.36,11.8,11.8,24.38,144.4,71.80,,3.78,38,0,34,24%,0,,,11.8,131.8,72,,12 - 132,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,ERD,110,67,0,0,67,89,1.24,,0.75,0.25,,,10,7,12,9,9,120,120,9.3,2.32,11.6,11.6,23.95,143.9,71.59,,3.71,67,0,63,44%,0,,,11.6,131.6,72,,12 - 132,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,CB2,3,52,0,0,52,2,1.50,,0.75,0.25,,,10,7,15,11,11,120,120,11.3,2.81,14.1,14.1,29.06,149.1,74.06,,4.50,52,0,48,32%,0,,,14.1,134.1,74,,14 - 134,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,TNV,489,258,0,0,258,89,5.49,,0.75,0.25,,,10,7,55,41,38,120,120,41.2,10.30,51.5,51.5,106.45,226.5,111.51,,16.48,258,0,242,107%,0,,,51.5,171.5,112,,52 - 172,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,SLM,206,94,0,0,94,89,2.31,,0.75,0.25,,,10,7,23,17,16,120,120,17.4,4.34,21.7,21.7,44.85,164.8,81.70,,6.94,94,0,87,53%,0,,,21.7,141.7,82,,22 - 142,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,MDU,437,212,0,0,212,89,4.91,,0.75,0.25,,,10,7,49,37,34,120,120,36.8,9.21,46.0,46.0,95.13,215.1,106.03,,14.73,212,0,197,92%,0,,,46.0,166.0,106,,46 - 166,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,VPM,360,118,0,0,118,89,4.04,,0.75,0.25,,,10,7,40,30,28,120,120,30.3,7.58,37.9,37.9,78.37,198.4,97.92,,12.13,118,0,106,53%,0,,,37.9,157.9,98,,38 - 158,,
3,MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,ESSIENTIAL ,10,1 - 200,"80, 85, 90, 95, 100, 110",6,"108, 120, 139, 176",4,2,120,120,ALL,TUT,184,180,0,0,180,89,2.07,,0.75,0.25,,,10,7,21,16,14,120,120,15.5,3.88,19.4,19.4,40.06,160.1,79.38,,6.20,180,0,174,109%,0,,,19.4,139.4,79,,19 - 139,,
