,"90 DAYS
SALES","BRANCH
STOCK","NO OF
SALES
DAYS","90 DAYS
SALES /90","LEAD
TIME
FACTOR","VARIABILITY
FACTOR","DECOUPLING
LEAD
TIME","DESIRED
ORDER
CYCLE",ADU * DLT,ADU * DLT * LTF,CYCLE * ADU,MOQ,"WHICH
IS
HIGHER",ADU * DLT * LTF,RED BASE * VF,BASE + RED SAFETY,RED,TOR + YELLOW,RED + YELLOW + GREEN,RED + GREEN 50%,"(ADU*
DLT)*0.3",ON HAND,ON ORDER,"(ON HAND+
ON ORDER)-
QUALIFIED DEMAND",NET FLOW / TOG,"ORDER
RECOMMENDATION",TOR,"TOR+
GREEN",TOR+ GREEN*50%,"TOR ""-""
(TOR + GREEN)"
MASTER SKU CODE,90 DAY SAL, SHOP STK,ADU DAYS,ADU,LTF,VF,DLT,DOC,YELLOW,STEP 1,STEP 2,STEP 3,GREEN,RBASE,RSAFETY,RED,TOR,TOY,TOG,"AVG ON
HAND OF
POSITION",QUALIFIED DEMAND,ON HAND,ON ORDER,NET FLOW,PLAN PRIORTY,ORDER RECOM,MIN,MAX,AVE,"INVENTORY
RANGE"
MENSINNER WEARECONOMICACTIVE WEAR INNER WEAR TOPSOLIDGYM VESTCLASSICPOOMEX,544,269,90,6.04,0.75,0.25,10,7,60,45,42,120,120,45,11,57,57,117,237,117,18,269, -   ,251,106%,0,57,177,117,57 - 177
MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSINNERPOOMEX,947,973,90,10.52,0.75,0.25,10,7,105,79,74,120,120,79,20,99,99,204,324,159,32,973,20,961,297%,0,99,219,159,99 - 219
MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDBRIEFSOUTERPOOMEX,"2,456","1,465",90,27.29,0.75,0.25,10,7,273,205,191,120,205,205,51,256,256,529,733,358,82,"1,465",140,"1,523",208%,0,256,461,358,256 - 461
MENSINNER WEARECONOMICDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,"1,876",979,90,20.84,0.75,0.25,10,7,208,156,146,120,156,156,39,195,195,404,560,274,63,979,310,"1,226",219%,0,195,352,274,195 - 352
MENSINNER WEARECONOMICDAILY WEARINNER WEAR TOPSOLIDRIB RN VESTCLASSICPOOMEX,526,274,90,5.84,0.75,0.25,10,7,58,44,41,120,120,44,11,55,55,113,233,115,18,274,110,366,157%,0,55,175,115,55 - 175
MENSINNER WEARECONOMICDAILY WEARINNER WEAR TOPSOLIDRN VESTCLASSICPOOMEX,"7,007","3,811",90,77.86,0.75,0.25,10,7,779,584,545,120,584,584,146,730,730,1508,"2,092","1,022",234,"3,811",450,"4,027",192%,0,730,"1,314","1,022",730 - 1314
MENSINNER WEARECONOMICDAILY WEARINNER WEAR TOPSOLIDRNS VESTCLASSICPOOMEX,468,463,90,5.20,0.75,0.25,10,7,52,39,36,120,120,39,10,49,49,101,221,109,16,463,30,477,216%,0,49,169,109,49 - 169
MENSINNER WEARPREMIUMDAILY WEARINNER WEAR BOTTOMSOLIDTRUNKOUTERPOOMEX,"3,366","1,529",90,37.40,0.75,0.25,10,7,374,281,262,120,281,281,70,351,351,725,"1,005",491,112,"1,529",580,"1,997",199%,0,351,631,491,351 - 631
Grand Total,"17,190","9,763",90,191,0.75,0.25,10,7,"1,910","1,432","1,337",120,"1,432","1,432",358,"1,791","1,791","3,701","5,133","2,507",573,"9,763","1,640","10,830",2, -   ,"1,791","3,223","2,507",1791 - 3223
